iter	RMSE
283	4.524889425
284	4.523047215
285	4.518548498
286	4.5117545
287	4.508003685
288	4.505737155
289	4.500736519
290	4.498747897
291	4.496328876
292	4.490476868
293	4.486028101
294	4.478837584
295	4.476136014
296	4.47382649
297	4.471670841
298	4.469108531
299	4.46459876
300	4.461288424
301	4.457962906
302	4.453811349
303	4.45191316
304	4.44948051
305	4.443959456
306	4.438817149
307	4.435232222
308	4.430979093
309	4.428837648
310	4.424984685
311	4.421709437
312	4.416854991
313	4.413417862
314	4.411351581
315	4.407008547
316	4.400844314
317	4.398171588
318	4.396156896
319	4.394401483
320	4.388545797
321	4.381712333
322	4.377310878
323	4.371858526
324	4.370220132
325	4.368011256
326	4.363092266
327	4.358054744
328	4.353011333
329	4.351065077
330	4.347293264
331	4.345164865
332	4.341354822
333	4.339492766
334	4.336631539
335	4.330676287
336	4.328657755
337	4.326650995
338	4.325673027
339	4.323213567
340	4.318335703
341	4.314152059
342	4.312414038
343	4.306715119
344	4.305583902
345	4.304106476
346	4.297676438
347	4.29384077
348	4.289069035
349	4.286586168
350	4.285418674
351	4.282869742
352	4.2789487
353	4.277181236
354	4.270807529
355	4.267633969
356	4.265648826
357	4.262682306
358	4.261679477
359	4.258168996
360	4.25481282
361	4.251818657
362	4.246587117
363	4.244200811
364	4.238353143
365	4.233876383
366	4.22921581
367	4.226419149
368	4.225319806
369	4.220568193
370	4.217392725
371	4.21376695
372	4.209364968
373	4.207549514
374	4.203186026
375	4.201127388
376	4.199630112
377	4.196045993
378	4.190138161
379	4.185578524
380	4.18236554
381	4.181695335
382	4.178580055
383	4.173114412
384	4.167502293
385	4.166320868
386	4.161063144
387	4.155508992
388	4.152837829
389	4.151779127
390	4.148204048
391	4.144285862
392	4.140573819
393	4.137398806
394	4.136887201
395	4.134583652
396	4.132260355
397	4.131224711
398	4.129586664
399	4.127833955
400	4.121949425
401	4.118383066
402	4.115019097
403	4.109473645
404	4.106672849
405	4.10450894
406	4.102465612
407	4.10040176
408	4.096707436
409	4.095718343
410	4.090843323
411	4.088611309
412	4.085435534
413	4.081818409
414	4.079916177
415	4.078807172
416	4.074841611
417	4.070442942
418	4.066399554
419	4.064245625
420	4.061924458
421	4.060203729
422	4.054760096
423	4.054321089
424	4.053283378
425	4.048878409
426	4.045778566
427	4.040644345
428	4.039058032
429	4.035198846
430	4.032788752
431	4.030396922
432	4.029849658
433	4.029350539
434	4.02772175
435	4.024279901
436	4.023376235
437	4.022226219
438	4.021015275
439	4.020630098
440	4.017579647
441	4.016217395
442	4.012376549
443	4.009992549
444	4.008645637
445	4.006043431
446	4.003452802
447	4.000013576
448	3.996522788
449	3.993135973
450	3.99018631
451	3.985775333
452	3.985521103
453	3.984322763
454	3.980277958
455	3.976530945
456	3.973156736
457	3.971710775
458	3.969953148
459	3.967459067
460	3.964583327
461	3.961989315
462	3.960483799
463	3.95790294
464	3.954149
465	3.9515584
466	3.947643878
467	3.946449073
468	3.945350254
469	3.943576967
470	3.940607159
471	3.939233063
472	3.937636465
473	3.936498418
474	3.935253278
475	3.934391305
476	3.930906729
477	3.930274737
478	3.929179682
479	3.926044079
480	3.922951733
481	3.920494096
482	3.9195956
483	3.916387978
484	3.913014587
485	3.909285319
486	3.907027039
487	3.906541749
488	3.904749354
489	3.902099858
490	3.898210859
491	3.89532637
492	3.891352735
493	3.888545546
494	3.887279781
495	3.886855308
496	3.882950233
497	3.878255292
498	3.873294635
499	3.870293886
500	3.869869835
501	3.869391246
502	3.868755853
503	3.865518624
504	3.863265094
505	3.861560352
506	3.86012992
507	3.857383798
508	3.852697723
509	3.850625865
510	3.845990402
511	3.842577022
512	3.841140279
513	3.840838381
514	3.8374703
515	3.833311657
516	3.831534422
517	3.82792357
518	3.827128739
519	3.825190128
520	3.822575595
521	3.82128341
522	3.820205555
523	3.816683675
524	3.813462073
525	3.809817575
526	3.805656343
527	3.804846251
528	3.803737618
529	3.801249396
530	3.799270108
531	3.795544708
532	3.791540563
533	3.790442104
534	3.786939092
535	3.785004068
536	3.783960273
537	3.783667708
538	3.782153677
539	3.780162116
540	3.775642685
541	3.771842035
542	3.768877999
543	3.768603638
544	3.76618121
545	3.765828357
546	3.764605284
547	3.762840536
548	3.760300186
549	3.757946972
550	3.75429123
551	3.750667864
552	3.749185692
553	3.745805045
554	3.745178637
555	3.743315287
556	3.739636348
557	3.737111381
558	3.7337706
559	3.729323192
560	3.726186078
561	3.723062674
562	3.721875841
563	3.716717698
564	3.71389968
565	3.713502463
566	3.713247837
567	3.710672603
568	3.709787068
569	3.708639389
570	3.707539717
571	3.703830582
572	3.700790389
573	3.699694464
574	3.699215815
575	3.695918728
576	3.69561435
577	3.69348345
578	3.692064779
579	3.689286215
580	3.685198493
581	3.683264819
582	3.68147411
583	3.678649993
584	3.676949906
585	3.674804617
586	3.671213267
587	3.669130125
588	3.666567844
589	3.666302332
590	3.664895959
591	3.664610056
592	3.663993299
593	3.663074583
594	3.660957221
595	3.657768673
596	3.65431771
597	3.651986311
598	3.650294788
599	3.647931363
600	3.645246784
601	3.643751191
602	3.642365203
603	3.641181042
604	3.640379527
605	3.637255978
606	3.633787288
607	3.630873027
608	3.62973185
609	3.629189084
610	3.625700572
611	3.622304742
612	3.620400553
613	3.617138973
614	3.616241461
615	3.614530932
616	3.614169594
617	3.612500357
618	3.61146224
619	3.610977755
620	3.608884652
621	3.608144563
622	3.607180431
623	3.604766498
624	3.601928723
625	3.597556776
626	3.596718443
627	3.593935973
628	3.591186153
629	3.589517045
630	3.589251224
631	3.586149965
632	3.585936802
633	3.584335465
634	3.58204748
635	3.580110873
636	3.579803796
637	3.576021755
638	3.572771903
639	3.570358221
640	3.568588663
641	3.568114106
642	3.563862255
643	3.561982943
644	3.560016923
645	3.559003293
646	3.556471557
647	3.554135253
648	3.55202799
649	3.55121138
650	3.550473098
651	3.547638421
652	3.545199578
653	3.544615997
654	3.541717183
655	3.538705925
656	3.535634562
657	3.533593601
658	3.533047372
659	3.530699107
660	3.528271371
661	3.526687747
662	3.523519669
663	3.523330433
664	3.522330573
665	3.520338299
666	3.516465881
667	3.514371645
668	3.513174785
669	3.511735485
670	3.509825871
671	3.508134408
672	3.505318798
673	3.502475431
674	3.501894584
675	3.497742691
676	3.497082431
677	3.493803749
678	3.491152266
679	3.490316156
680	3.487069074
681	3.486500496
682	3.486106938
683	3.484854886
684	3.483183365
685	3.480298183
686	3.476954005
687	3.475045898
688	3.470476472
689	3.470216043
690	3.469500699
691	3.466699963
692	3.462599011
693	3.458917059
694	3.455341456
695	3.454457569
696	3.451479369
697	3.448488037
698	3.44600758
699	3.443338512
700	3.442374984
701	3.441148698
702	3.438294673
703	3.436774709
704	3.435562971
705	3.434186282
706	3.432572078
707	3.432017904
708	3.428477817
709	3.425798073
710	3.425497949
711	3.422108854
712	3.421181844
713	3.419126566
714	3.418530232
715	3.416517962
716	3.41354135
717	3.411654079
718	3.410504699
719	3.408948096
720	3.407094301
721	3.402490159
722	3.401242736
723	3.401084058
724	3.400912326
725	3.400691935
726	3.399834374
727	3.399178903
728	3.397168905
729	3.39607683
730	3.395394148
731	3.392051324
732	3.38978058
733	3.389335715
734	3.386916561
735	3.384161453
736	3.383587977
737	3.382836949
738	3.380963586
739	3.379899153
740	3.377228111
741	3.374999494
742	3.374015749
743	3.372344757
744	3.369124604
745	3.367641736
746	3.366579634
747	3.363971456
748	3.363588404
749	3.360198864
750	3.355879297
751	3.352190615
752	3.351079101
753	3.347872318
754	3.346149213
755	3.34486329
756	3.343783765
757	3.341726952
758	3.340635259
759	3.339525653
760	3.337814035
761	3.335201624
762	3.335040007
763	3.333990226
764	3.331536082
765	3.328446092
766	3.326093946
767	3.324547163
768	3.321415692
769	3.317364452
770	3.314926368
771	3.314778603
772	3.31201041
773	3.309063613
774	3.306941793
775	3.304918074
776	3.301802205
777	3.300587194
778	3.299090361
779	3.298960491
780	3.297910862
781	3.297023603
782	3.294512104
783	3.293949808
784	3.291285859
785	3.288996971
786	3.288041892
787	3.285531533
788	3.284457939
789	3.281976438
790	3.280060659
791	3.279742688
792	3.27932901
793	3.279237267
794	3.278017602
795	3.275575325
796	3.273564514
797	3.272991153
798	3.271827937
799	3.269925629
800	3.26915277
801	3.268519656
802	3.266860233
803	3.263352494
804	3.262893241
805	3.261438868
806	3.258647529
807	3.256702255
808	3.256426472
809	3.254918686
810	3.254239147
811	3.253806637
812	3.252253757
813	3.249670693
814	3.248653412
815	3.246007188
816	3.244472855
817	3.243835953
818	3.242162482
819	3.241564121
820	3.239035248
821	3.23877003
822	3.234962123
823	3.233906334
824	3.229492087
825	3.228649539
826	3.228074039
827	3.22720566
828	3.226642265
829	3.225182337
830	3.22158946
831	3.2214328
832	3.220824704
833	3.219003343
834	3.216700403
835	3.215090052
836	3.214541446
837	3.212609238
838	3.211713137
839	3.210792903
840	3.209631665
841	3.209095195
842	3.208911375
843	3.208127953
844	3.20588804
845	3.204378925
846	3.201981663
847	3.201936337
848	3.201445792
849	3.199191632
850	3.196188087
851	3.193320073
852	3.191948658
853	3.190509088
854	3.1883484
855	3.187262246
856	3.186036631
857	3.184129556
858	3.18405115
859	3.183218926
860	3.181375361
861	3.180542339
862	3.179848122
863	3.17689124
864	3.173750534
865	3.171623194
866	3.169122636
867	3.168951656
868	3.168218561
869	3.165607308
870	3.163334651
871	3.160701324
872	3.160517566
873	3.157752983
874	3.155114092
875	3.15259459
876	3.151749061
877	3.150133212
878	3.149162984
879	3.148256215
880	3.148129842
881	3.148022779
882	3.147463241
883	3.144923437
884	3.143375562
885	3.142081134
886	3.140102488
887	3.138738303
888	3.137978561
889	3.137105407
890	3.134729101
891	3.132614293
892	3.131217917
893	3.130733198
894	3.127608525
895	3.12559942
896	3.124823149
897	3.123097654
898	3.122592668
899	3.119610752
900	3.1176079
901	3.115290429
902	3.11323016
903	3.111582771
904	3.111253538
905	3.108846456
906	3.107191131
907	3.106392206
908	3.104324464
909	3.10390819
910	3.10034189
911	3.098875389
912	3.096428966
913	3.095746953
914	3.093169962
915	3.092618931
916	3.092517376
917	3.091657931
918	3.0914812
919	3.090891388
920	3.089396753
921	3.087647902
922	3.086935372
923	3.085781314
924	3.085404969
925	3.082379718
926	3.080318069
927	3.079025106
928	3.076104654
929	3.073173246
930	3.069982505
931	3.069406481
932	3.068774237
933	3.067649245
934	3.066111471
935	3.063019438
936	3.060372175
937	3.058590591
938	3.056986127
939	3.056704642
940	3.05555587
941	3.054206034
942	3.051973305
943	3.050595564
944	3.049526257
945	3.046404394
946	3.04445652
947	3.043805981
948	3.043345728
949	3.042023842
950	3.040310683
951	3.039799228
952	3.039596757
953	3.038769668
954	3.038693757
955	3.038482604
956	3.038290965
957	3.03696312
958	3.035566196
959	3.035251846
960	3.034632341
961	3.032692296
962	3.031485782
963	3.029732092
964	3.029499805
965	3.02941221
966	3.028905638
967	3.026689463
968	3.026561312
969	3.024941728
970	3.024880436
971	3.023714391
972	3.022674378
973	3.020264572
974	3.018991831
975	3.018540081
976	3.016876475
977	3.016075714
978	3.015504015
979	3.015166652
980	3.01205917
981	3.012023849
982	3.008597028
983	3.006078591
984	3.003743838
985	3.002750486
986	3.000823678
987	3.00034299
988	2.998524344
989	2.997822715
990	2.997575738
991	2.996228386
992	2.992219129
993	2.989751518
994	2.989465306
995	2.987223266
996	2.984663753
997	2.983138815
998	2.983115446
999	2.982406708
